jd_id,normalized_jd,jd_summary,clean_jd
0,"Minimum education requirement Bachelor degree Accounting major, at least one to two year work experience in a manufacturing company, preferably a wood processing company. Knowledge of Accounting Information System, Finance Accounting flowchart, experience using Accounting software, understand and able to create financial report, master Cost Accounting and Costing, willing to work officially placed outside the city. Special criterion: age twenty-five to thirty years, domiciled in J Abode Tab Ek, neat appearance, well-behaved, polite, GPA minimum two point seventy-five.","{
  ""title"": ""Accountant"",
  ""years_experience_required"": 1,
  ""education_required"": [""Bachelor's degree in Accounting""],
  ""key_skills"": [
    ""Accounting Information System knowledge"",
    ""Finance Accounting flowchart knowledge"",
    ""Financial reporting"",
    ""Cost Accounting"",
    ""Costing""
  ],
  ""tools_software"": [""Accounting software""],
  ""responsibilities"": [
    ""Create financial reports"",
    ""Apply cost accounting and costing methods""
  ],
  ""requirements"": [
    ""At least 1-2 years of work experience in a manufacturing company, preferably wood processing"",
    ""Willing to be officially placed outside the city"",
    ""Age between 25-30 years"",
    ""Domiciled in J Abode Tab Ek"",
    ""GPA minimum 2.75""
  ]
}",minimum education requirement bachelor degree accounting major least one two year work experience manufacturing company preferably wood processing company knowledge accounting information system finance accounting flowchart experience using accounting software understand able create financial report master cost accounting costing willing work officially placed outside city special criterion age twenty five thirty year domiciled j abode tab ek neat appearance well behaved polite gpa min two seventy five
1,"Hiring talented candidate to join accounting team. You will be responsible for preparing payment to vendor, maintaining bank balance, inputting transaction, responsibility to prepare journal entry, inputting SAP, handling petty cash bank, preparing payment due date invoice vendor, maintenance accrual prepayment in SAP, preparing monthly financial closing, preparing data for yearly financial audit, preparing data for tax audit, preparing bank reconciliation, and Management Discussion report.  

Requirement: Candidate must possess at least Diploma or Bachelor Degree in Finance, Accountancy, Banking, or equivalent. At least two years working experience in related field is required for the position, preferably staff (non-management, non-supervisor) specialized in Accounting, General or Cost Accounting, or equivalent. Familiar with SAP, good analytical thinking, detail-oriented, able to work to deadline, able to join as soon as possible. Location: Kela Paga Ding.","{
  ""title"": ""Accounting Staff"",
  ""years_experience_required"": 2,
  ""education_required"": [""Diploma in Finance"", ""Diploma in Accountancy"", ""Diploma in Banking"", ""Bachelor Degree in Finance"", ""Bachelor Degree in Accountancy"", ""Bachelor Degree in Banking""],
  ""key_skills"": [""analytical thinking"", ""attention to detail"", ""ability to meet deadlines""],
  ""tools_software"": [""SAP""],
  ""responsibilities"": [
    ""prepare payments to vendors"",
    ""maintain bank balance"",
    ""input transactions"",
    ""prepare journal entries"",
    ""handle petty cash bank"",
    ""prepare payment due date invoices for vendors"",
    ""maintain accruals and prepayments in SAP"",
    ""prepare monthly financial closing"",
    ""prepare data for yearly financial audit"",
    ""prepare data for tax audit"",
    ""prepare bank reconciliation"",
    ""prepare Management Discussion report""
  ],
  ""requirements"": [
    ""Diploma or Bachelor Degree in Finance, Accountancy, Banking, or equivalent"",
    ""minimum 2 years experience in related field"",
    ""experience in Accounting, General or Cost Accounting"",
    ""familiarity with SAP"",
    ""ability to join immediately""
  ]
}",hiring talented candidate join accounting team youll responsible preparing payment vendor maintaining bank balance input transaction responsibility prepare journal entry input sap handle petty cash bank prepare payment due date invoice vendor maintenance accrual prepayment sap prepare monthly financial closing prepare data yearly financial audit prepare data tax audit prepare bank reconciliation md report requirement candidate must posse least diploma bachelor degree finance accountancy banking equivalent least two year working experience related field required position preferably staff non management non supervisor specialized accounting general cost accounting equivalent familiar sap good analytical thinking detail able work deadline able join asap location kela paga ding
2,duty proficient working Microsoft Excel skilled working Microsoft PowerPoint pivot operate accounting software understand taxation grade Doctor of Business qualification maximum age twenty eight year responsible diligent disciplined attitude work team loyalty company,"{
  ""title"": null,
  ""years_experience_required"": null,
  ""education_required"": [""Doctor of Business""],
  ""key_skills"": [""proficient in Microsoft Excel"", ""skilled in Microsoft PowerPoint"", ""ability to use pivot tables"", ""operate accounting software"", ""understand taxation""],
  ""tools_software"": [""Microsoft Excel"", ""Microsoft PowerPoint"", ""accounting software""],
  ""responsibilities"": [""work in a team""],
  ""requirements"": [""maximum age of 28 years""]
}",duty proficient working excel skilled working powerpoint pivot operate accounting software understand taxation grade da b qualification maximum age twenty eight year responsible diligent disciplined attitude work team loyalty company
3,"Job description responsible for supervising and checking every journal made by accounting staff based on invoices and working papers in finance in accordance with applicable accounting standards. Responsible for recording payment and receiving transactions. Responsible for preparing data needed for financial reports, managing fixed assets properly, asset book depreciation, reviewing and analyzing journal transactions and transaction data, supporting and ensuring financial transactions are based on data, preparing monthly financial statements.  

Job requirement: Bachelor degree in Accounting, Finance, Business Administration or related field. Age maximum thirty-five years. Minimum five years of experience in manufacturing. English skill is a must, Mandarin skill preferable. Strong computer skills. Team size handled at least two resources. Sound knowledge of accounting principles and practices. Attention to detail and accuracy. Accounting certification is a plus. Willing to be placed in Bogor, West Java.","{
  ""title"": ""Accounting Supervisor"",
  ""years_experience_required"": 5,
  ""education_required"": [""Bachelor's degree in Accounting"", ""Bachelor's degree in Finance"", ""Bachelor's degree in Business Administration"", ""Related field""],
  ""key_skills"": [""English proficiency"", ""Mandarin proficiency"", ""Strong computer skills"", ""Knowledge of accounting principles and practices""],
  ""tools_software"": null,
  ""responsibilities"": [
    ""Supervise and check journal entries based on invoices and working papers"",
    ""Record payment and receiving transactions"",
    ""Prepare data for financial reports"",
    ""Manage fixed assets and asset book depreciation"",
    ""Review and analyze journal transactions and transaction data"",
    ""Support and ensure financial transactions are based on data"",
    ""Prepare monthly financial statements""
  ],
  ""requirements"": [
    ""Bachelor's degree in Accounting, Finance, Business Administration or related field"",
    ""Maximum age of 35 years"",
    ""Minimum five years of experience in manufacturing"",
    ""English skill required, Mandarin skill preferable"",
    ""Strong computer skills"",
    ""Experience handling a team of at least two people"",
    ""Sound knowledge of accounting principles and practices"",
    ""Accounting certification is a plus"",
    ""Willing to be placed in Bogor, West Java""
  ]
}",job description responsible supervising checking every journal made accounting staff based invoice working paper finance accordance applicable accounting standard responsible recording payment receiving transaction responsible preparing data needed financial report managing fixed asset properly asset book depreciation review analyze journal transaction transaction data supporting ensure financial transaction based data preparing monthly financial statement job requirement bachelor degree accounting finance business administration related field age max thirty five year min five year experience manufacturing english skill must mandarin skill preferable strong computer skill team size handled least two resource sound knowledge accounting principle practice attention detail accuracy accounting certification plus breve tab willing placed bogor west java
4,"Qualification one Bachelor degree in Finance, Accounting, Banking or equivalent. Two minimum three to five years experience in Accounting or Finance as Supervisor. Three experience working in Property industry in Finance or Accounting preferred. Four knowledge of Restructuring preferred. Five proficient in using and managing data using Microsoft Excel. Six knowledge of Accounting analysis, recording transactions, Financial Reporting, Balance Sheet, Income Statement, Cash Flow Statement, Equity. Seven knowledge of analysis of Financial Statements, Management Reports, Accounts Receivable, Accounts Payable, Income Statement, Cash Flow. Eight knowledge in the field of Taxation, context documentation and reporting for PPh 42, PPh 23, PPh 21, PPh 25, VAT, ability to use e-Invoice, e-Bupot, DJP Online, Online SPT Reporting. Nine knowledge in the field of Fiscal Reconciliation, equalization of Financial Statements and Tax Data. Ten honest, responsible, able to work according to deadlines. Eleven able to work individually or in a team.","{
  ""title"": null,
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor degree in Finance"", ""Bachelor degree in Accounting"", ""Bachelor degree in Banking"", ""Equivalent""],
  ""key_skills"": [
    ""Accounting analysis"",
    ""Recording transactions"",
    ""Financial reporting"",
    ""Balance sheet preparation"",
    ""Income statement preparation"",
    ""Cash flow statement preparation"",
    ""Equity accounting"",
    ""Financial statement analysis"",
    ""Management report analysis"",
    ""Accounts receivable management"",
    ""Accounts payable management"",
    ""Taxation knowledge (PPh 42, PPh 23, PPh 21, PPh 25, VAT)"",
    ""Fiscal reconciliation"",
    ""Equalization of financial statements and tax data""
  ],
  ""tools_software"": [
    ""Microsoft Excel"",
    ""e-Invoice"",
    ""e-Bupot"",
    ""DJP Online"",
    ""Online SPT Reporting""
  ],
  ""responsibilities"": [
    ""Manage accounting and finance operations"",
    ""Prepare and analyze financial statements"",
    ""Record and reconcile transactions"",
    ""Prepare management reports"",
    ""Manage accounts receivable and accounts payable"",
    ""Handle taxation documentation and reporting"",
    ""Perform fiscal reconciliation and equalization of financial and tax data""
  ],
  ""requirements"": [
    ""Bachelor degree in Finance, Accounting, Banking or equivalent"",
    ""3-5 years experience in Accounting or Finance as Supervisor"",
    ""Experience in property industry preferred"",
    ""Knowledge of restructuring preferred"",
    ""Proficiency in Microsoft Excel"",
    ""Knowledge of accounting and financial analysis"",
    ""Knowledge of taxation regulations and reporting tools""
  ]
}",qualification one bachelor degree finance accounting banking equivalent two minimum three five year experience accounting finance supervisor three experience working property industry finance accounting preferred four knowledge restructuring preferred five proficient using managing data using microsoft excel six knowledge accounting analysis recording transaction financial reporting balance sheet income statement cash flow statement equity seven knowledge analysis financial statement management report account receivable account payable income statement cash flow eight knowledge field taxation context documentation reporting pph four two pph twenty three pph twenty one pph twenty five vat ability use e invoice eb uk pot djp online online spt reporting nine knowledge field fiscal reconciliation equalization financial statement tax data ten honest responsible able work according deadline eleven able work individually team
5,"Maximum age thirty years, experience in the field of accounting, added value, minimum education High School, preferably Bachelor’s degree, currently studying, understand basic accounting, able to work under pressure, independently and in a team, responsible, integrity, honest, high enthusiasm for learning, domiciled in North Jakarta, West Jakarta, surrounding area preferred.","{
  ""title"": ""Accounting Staff"",
  ""years_experience_required"": null,
  ""education_required"": [""High School"", ""Bachelor's degree (preferred)""],
  ""key_skills"": [""basic accounting"", ""work under pressure"", ""independent work"", ""teamwork""],
  ""tools_software"": [],
  ""responsibilities"": [],
  ""requirements"": [""Maximum age 30 years"", ""Experience in accounting"", ""Currently studying acceptable"", ""Domiciled in North Jakarta, West Jakarta, or surrounding area preferred""]
}",maximum age thirty year experience field accounting added value minimum education high school preferably bachelor degree currently studying understand basic accounting able work pressure independently team responsible integrity honest high enthusiasm learning domiciled north jakarta west jakarta surrounding area preferred
6,aged twenty five thirty eight year old minimum education Bachelor degree Accounting least three year work experience field loyal detailed hardworking responsible good thinking analytical skill able work pressure according deadline willing placed Kela Paga Ding North Jakarta,"{
  ""title"": null,
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor's degree in Accounting""],
  ""key_skills"": [""analytical skills"", ""ability to work under pressure"", ""ability to meet deadlines""],
  ""tools_software"": [],
  ""responsibilities"": [],
  ""requirements"": [""Age between 25 and 38 years old"", ""Willing to be placed in Kela Paga Ding, North Jakarta""]
}",aged twenty five thirty eight year old minimum education bachelor degree accounting least three year work experience field loyal detailed hardworking responsible good thinking analytical skill able work pressure according deadline willing placed kela paga ding north jakarta
7,"Job description: Create monthly and annual tax return report for PPh twenty-one, twenty-two, twenty-three, PPh rent, corporate PPN. Create journal ledger using QuickBooks accounting program. Compile and ensure financial report bookkeeping is neat, organized, proper, and accurate. Able to communicate politely and well with related divisions. Ensure accuracy of data reported and recorded. Responsible for storage, security, and confidentiality of documents.  

Qualification: Domiciled around Sunter, Kemayoran, Tanjung Priok. Bachelor of Accounting. Experience in the field minimum five years. Understand taxation. Master Microsoft Office Word, Excel, Internet. Initiative, responsible, able to work together in a team, agile, diligent, careful, honest, disciplined, detailed, hard worker, organized, smart, accustomed to administration, fast learning, good integrity, high loyalty, accustomed to being detail-oriented, good under pressure.","{
  ""title"": ""Tax Accountant"",
  ""years_experience_required"": 5,
  ""education_required"": [""Bachelor of Accounting""],
  ""key_skills"": [""taxation"", ""financial reporting"", ""bookkeeping"", ""communication"", ""data accuracy"", ""document security"", ""confidentiality management""],
  ""tools_software"": [""QuickBooks"", ""Microsoft Word"", ""Microsoft Excel"", ""Internet""],
  ""responsibilities"": [""Create monthly and annual tax return reports for PPh 21, 22, 23, PPh rent, corporate PPN"", ""Create journal ledger using QuickBooks"", ""Compile and ensure financial report bookkeeping is accurate and organized"", ""Communicate with related divisions"", ""Ensure accuracy of reported and recorded data"", ""Manage storage, security, and confidentiality of documents""],
  ""requirements"": [""Domiciled around Sunter, Kemayoran, Tanjung Priok"", ""Bachelor of Accounting"", ""Minimum five years of experience in the field"", ""Understand taxation"", ""Proficient in Microsoft Office Word, Excel, and Internet""]
}",job description create monthly annual tax return report pph twenty one twenty two twenty three pph rent corporate ppn create journal ledger quickbooks accounting program compile ensure financial report bookkeeping neat organized properly accurately able communicate politely well related division ensure accuracy data reported recorded responsible storage security confidentiality document qualification domiciled around sunter ke mayor tanjung pri ok bachelor accounting experience field min five year understand taxation master microsoft office word excel internet initiative responsible work together work team agile diligent careful honest disciplined detailed hard worker organized smart accustomed administration fast learning good integrity high loyalty accustomed detail oriented good press
8,"Job description: prepare management report, profit and loss, balance sheet, monitoring, reviewing transactional journal posting, prepares payment, accruing expense, assigning account number, requesting disbursement, reconciling account, keep accurate record of daily transactions, manage internal payment.  

Qualification: Bachelor degree majoring in Accounting, Finance, Management, minimum three years experience in Accounting, at least one to two years ability to operate Microsoft Office, integrated accounting system (e.g., Accurate), hold Brevet A/B certificate is an advantage, understand and update accounting standards, good communication and teamwork skills.","{
  ""title"": ""Accountant"",
  ""years_experience_required"": 3,
  ""education_required"": [""Bachelor's degree in Accounting"", ""Bachelor's degree in Finance"", ""Bachelor's degree in Management""],
  ""key_skills"": [""Accounting"", ""Financial reporting"", ""Transaction monitoring"", ""Expense accrual"", ""Account reconciliation"", ""Payment processing"", ""Account number assignment"", ""Disbursement request"", ""Record keeping"", ""Internal payment management"", ""Understanding of accounting standards""],
  ""tools_software"": [""Microsoft Office"", ""Accurate""],
  ""responsibilities"": [""Prepare management reports"", ""Prepare profit and loss statements"", ""Prepare balance sheets"", ""Monitor and review transactional journal postings"", ""Prepare payments"", ""Accrue expenses"", ""Assign account numbers"", ""Request disbursements"", ""Reconcile accounts"", ""Maintain accurate records of daily transactions"", ""Manage internal payments""],
  ""requirements"": [""Bachelor's degree in Accounting, Finance, or Management"", ""Minimum three years experience in Accounting"", ""One to two years experience operating Microsoft Office"", ""Experience with integrated accounting systems such as Accurate"", ""Brevet A/B certificate is an advantage"", ""Knowledge of current accounting standards""]
}",job description prepare management report profit loss balance sheet monitoring reviewing transactional journal posting prepares payment accruing expense assigning account number requesting disbursement reconciling account keep accurate record daily transaction manage internal payment qualification bachelor degree majoring accounting finance management ming pa three zero experience accounting least one two year ability operate msoffice integrated accounting system ex accurate hold breve tab certificate advantage understand update accounting standard good communication teamwork skill
9,responsibility one putting journal two making financial report three making reviewing accounting process four making transaction summary five performing reconciliation journal six making periodic annual PPh PPN tax report qualification one minimum education Bachelor two maximum thirty five years three minimum two years experience field four mastering Accurate program five good analytical skill six preferred domicile North Jakarta West Jakarta,"{
  ""title"": null,
  ""years_experience_required"": 2,
  ""education_required"": [""Bachelor's degree""],
  ""key_skills"": [""accounting process review"", ""financial reporting"", ""transaction summarization"", ""journal entry"", ""reconciliation"", ""tax reporting"", ""analytical skills""],
  ""tools_software"": [""Accurate""],
  ""responsibilities"": [
    ""Prepare journal entries"",
    ""Create financial reports"",
    ""Review accounting processes"",
    ""Prepare transaction summaries"",
    ""Perform journal reconciliations"",
    ""Prepare periodic and annual PPh and PPN tax reports""
  ],
  ""requirements"": [
    ""Bachelor's degree"",
    ""Maximum age 35 years"",
    ""Minimum 2 years of experience in the field"",
    ""Proficiency in Accurate program"",
    ""Preferred domicile in North Jakarta or West Jakarta""
  ]
}",responsibility one putting journal two making financial report three making reviewing accounting process four making transaction summary five performing reconciliation journal six making periodic annual p php pn tax report qualification one minimum education bachelor 2max thirty five year three minimum two year experience field four mastering accurate program five good analytical skill six preferred domicile north jakarta west jakarta
