jd_id,cv_id,match_score
66,4,20.0
66,3,30.0
66,0,40.0
66,5,20.0
66,2,28.0
66,7,20.0
66,6,30.0
66,1,20.0
66,8,20.0
66,10,20.0
66,9,45.0
66,12,20.0
66,14,40.0
66,11,45.0
66,13,20.0
66,21,30.0
66,23,28.0
66,15,20.0
66,16,20.0
66,17,20.0
66,24,20.0
66,18,40.0
66,19,35.0
66,20,30.0
66,22,20.0
66,25,28.0
66,27,55.0
66,26,40.0
66,28,20.0
66,29,20.0
66,32,20.0
66,31,40.0
66,30,20.0
66,33,30.0
66,35,35.0
66,34,40.0
66,36,40.0
66,37,30.0
66,38,35.0
66,39,30.0
66,43,55.0
66,45,20.0
66,46,20.0
66,47,30.0
66,48,20.0
66,49,20.0
66,51,15.0
66,44,35.0
66,41,20.0
66,40,30.0
66,42,20.0
66,50,40.0
66,52,15.0
66,53,70.0
66,55,75.0
66,54,65.0
66,58,45.0
66,57,55.0
66,56,75.0
66,59,45.0
66,60,75.0
66,61,75.0
66,65,40.0
66,62,45.0
66,67,50.0
66,66,20.0
66,63,75.0
66,68,35.0
66,64,65.0
66,69,35.0
66,70,35.0
66,73,78.0
66,74,30.0
66,71,30.0
66,72,65.0
66,76,40.0
66,78,20.0
66,79,20.0
66,81,35.0
66,80,40.0
66,82,35.0
66,83,20.0
66,84,55.0
66,86,20.0
66,87,20.0
66,85,30.0
66,88,28.0
66,89,40.0
66,75,45.0
66,77,56.0
66,90,48.0
66,98,40.0
66,99,30.0
66,91,20.0
66,94,45.0
66,92,20.0
66,93,35.0
66,95,30.0
66,96,30.0
66,97,65.0
66,100,20.0
66,101,55.0
66,106,45.0
66,103,28.0
66,105,5.0
66,104,30.0
66,107,10.0
66,108,10.0
66,110,5.0
66,109,5.0
66,111,5.0
66,112,40.0
66,113,5.0
66,102,20.0
66,114,5.0
66,115,5.0
66,116,5.0
66,117,5.0
66,118,0.0
66,119,5.0
66,120,0.0
66,121,10.0
66,122,5.0
66,124,5.0
66,123,20.0
66,127,5.0
66,128,45.0
66,134,5.0
66,133,5.0
66,126,5.0
66,135,5.0
